Request URI,Date Time,Sum of Traffic
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/2da52fba-e257-11e4-8156-891fee52ddb5,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:32:00+0000,53
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/d468610a-e257-11e4-963f-47148c0aa044,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:32:00+0000,52
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:33:00+0000,0
/ncranon/sandbox/movies/b626dd7a-e257-11e4-8bc4-4592b4f90116,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:21:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:23:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:24:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:25:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:26:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:27:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:28:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:29:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:30:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:31:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:32:00+0000,0
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:33:00+0000,51
/ncranon/sandbox/movies/0af475ba-e258-11e4-9256-876a26f7a30c,2015-04-30 03:34:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 02:43:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 02:56:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:07:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:08:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:13:00+0000,0
/ncranon/sandbox/movies/5ae9bcda-e256-11e4-8d4e-41c7ab6b9059,2015-04-30 03:21:00+0000,0
